sampleID	shannon_div	simpson_div	chao_richness	shannon_evenness	obs_richness
E3_GP46_day3_pp18	0.1615	0.9458	11.42	0.07288	8.869
E3_GP46_day3_pp19	0.189	0.9379	8.642	0.08666	8.642
E3_GP46_day3_pp20	0.172	0.9474	5.0	0.1135	5.0
E3_GP46_day3_pp21	0.1493	0.9486	5.985	0.08296	5.985
E3_GP46_day3_pp23	0.1678	0.9421	6.084	0.09421	6.084
E3_GP46_day3_pp24	0.1465	0.9506	8.135	0.06962	8.362
E3_GP46_day4_pp01	0.1056	0.9641	7.172	0.04928	7.172
E3_GP46_day4_pp02	0.1638	0.9507	6.0	0.08109	6.0
E3_GP46_day4_pp03	0.1698	0.9396	6.499	0.0856	6.965
E3_GP46_day4_pp04	0.1705	0.9413	8.411	0.08155	8.411
E3_GP46_day4_pp05	0.1424	0.9509	5.572	0.08274	5.572
E3_GP46_day4_pp06	0.1601	0.9462	8.956	0.07756	8.498
E3_GP46_day4_pp07	0.21	0.9306	8.992	0.09742	8.992
E3_GP46_day4_pp08	0.1801	0.941	10.87	0.06982	10.87
E3_GP46_day4_pp09	0.1783	0.9378	5.763	0.1008	5.763
E3_GP46_day4_pp11	0.1731	0.9402	4.536	0.09177	4.536
E3_GP46_day4_pp12	0.1363	0.9541	5.814	0.07374	6.116
E3_GP46_day4_pp13	0.1014	0.9672	5.0	0.06146	5.0
E3_GP46_day4_pp14	0.1626	0.949	13.76	0.05177	13.76
E3_GP46_day4_pp15	0.1837	0.9413	18.2	0.06228	18.2
E3_GP46_day4_pp16	0.1314	0.9567	6.256	0.07072	6.256
E3_GP46_day4_pp17	0.1352	0.9573	11.81	0.05772	11.34
E3_GP46_day4_pp18	0.1542	0.9484	9.122	0.07352	8.45
E3_GP46_day4_pp19	0.1702	0.9469	10.85	0.07113	10.99
E3_GP46_day4_pp20	0.09116	0.9805	8.219	0.02484	8.219
E3_GP46_day4_pp21	0.1673	0.946	9.902	0.07346	9.965
E3_GP46_day4_pp23	0.1393	0.9532	5.262	0.08867	5.262
E3_GP46_day4_pp24	0.1303	0.9572	5.92	0.07265	5.92
